Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Central & South America,CSAM,205.056,204.905,193.431,191.865,201.45,200.138,212.041,205.736,220.34,222.281,240.437,252.67,258.066,268.332,281.747,305.302,326.687,352.563,358.363,350.015
Former Czechoslovakia,CSK,0.115,0.126,0.126,0.126,0.126,0.126,0.177,0.177,0.177,0.177,0.126,0.151,0.126,--,--,--,--,--,--,--
Cuba,CUB,0.295,0.479,0.58,0.706,0.883,1.009,1.059,1.059,0.883,0.883,0.832,0.832,0.933,1.185,1.412,1.538,1.765,1.765,1.816,2.244
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,0.126,0.126,0.177,0.252,0.177,0.202,0.227
East,DDR,0.054,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,3.884,3.455,3.329,3.152,3.228,3.278,3.052,3.228,3.001
West,DEUW,5.033,4.867,4.59,4.413,4.312,4.413,4.363,4.035,4.262,4.085,3.884,--,--,--,--,--,--,--,--,--
Denmark,DNK,0.315,0.782,1.841,2.345,2.421,3.026,3.959,5.069,5.195,6.103,6.33,7.465,8.549,9.104,9.659,9.709,10.895,12.029,12.433,15.686
Algeria,DZA,56.709,51.245,50.463,49.127,52.002,52.985,54.826,54.776,53.59,56.541,60.349,59.82,61.635,59.668,59.063,59.416,62.921,64.384,62.694,60.173
Ecuador,ECU,11.271,11.626,11.626,13.063,14.249,15.484,16.14,9.583,16.695,15.384,15.711,16.468,17.729,18.965,20.1,21.587,21.89,21.386,20.654,20.554
Egypt,EGY,32.523,32.608,36.517,39.619,44.94,48.345,44.31,48.849,46.353,47.16,47.588,47.639,48.168,48.521,48.849,50.161,50.388,46.655,45.47,46.453
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
Spain,ESP,1.761,1.337,1.589,3.077,2.446,2.345,2.018,1.816,1.589,1.11,0.857,1.16,1.185,0.958,0.908,0.681,0.53,0.404,0.58,0.328
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
European Union,EU27,117.075,126.674,142.689,157.92,168.109,171.564,174.441,168.286,159.282,133.811,133.938,132.425,133.256,137.444,164.729,169.85,174.92,172.701,177.771,180.467
Eurasia,EURA,635.324,641.37,644.75,647.978,643.741,627.046,643.816,652.214,654.156,634.082,594.034,540.822,463.499,409.961,378.538,371.981,367.643,374.327,375.31,394.93
Europe,EURO,151.799,160.871,179.257,200.969,214.537,221.623,228.183,229.24,226.364,220.086,227.45,238.396,252.289,263.488,305.501,319.928,342.173,341.946,339.777,342.272
France,FRA,1.408,1.841,1.841,1.891,1.891,2.698,3.253,3.505,3.632,3.505,3.304,3.178,3.152,2.976,3.026,2.698,2.32,1.942,1.841,1.614
Gabon,GAB,9.511,8.196,8.448,8.499,8.524,9.331,9.003,8.398,8.65,11.273,14.627,15.938,16.191,16.972,17.83,19.772,19.999,20.049,19.066,17.931
United Kingdom,GBR,87.867,96.74,110.308,122.388,132.829,135.149,135.628,128.516,119.563,96.261,97.219,95.984,97.749,102.288,126.852,132.955,137.545,134.493,139.739,143.37
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,0.151,0.101,0.101,0.05,0.076,0.151,0.126,0.126
Ghana,GHA,0.109,0.101,0.101,0.101,0.101,0.05,0.016,,,,,,0.05,0.076,0.076,0.227,0.328,0.277,0.277,0.328
Equatorial Guinea,GNQ,,,,,,,,,,,,0.005,0.076,0.227,0.252,0.252,0.857,2.623,4.186,5.119
Greece,GRC,,0.429,1.135,1.311,1.412,1.362,1.362,1.311,1.16,0.933,0.807,0.883,0.706,0.605,0.555,0.479,0.429,0.504,0.353,0.016
Guatemala,GTM,0.274,0.277,0.328,0.378,0.277,0.177,0.277,0.227,0.177,0.227,0.227,0.252,0.252,0.378,0.454,0.53,0.706,0.883,1.311,1.261
Hawaiian Trade Zone,HITZ,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,1.942,1.942,2.093,1.715,1.614,1.564,1.664,1.337
Hungary,HUN,2.192,2.194,2.371,2.295,2.295,2.118,2.118,2.018,2.244,2.068,2.295,1.967,1.891,1.967,2.244,2.018,1.841,2.018,1.488,1.387
Indonesia,IDN,84.876,86.148,70.739,70.966,74.8,70.008,73.438,70.966,71.092,74.447,77.246,84.105,79.692,79.843,79.793,79.415,81.962,80.323,80.196,77.775
India,IND,9.624,17.149,20.579,25.32,27.438,32.684,33.213,32.104,33.567,36.921,34.802,32.432,29.658,28.17,31.12,37.072,34.424,35.584,34.853,34.424
Iran,IRN,90.325,74.8,119.992,132.249,118.151,121.959,110.283,124.557,121.732,152.298,167.353,179.509,186.369,191.866,196.103,197.44,200.315,198.575,196.961,192.774
Iraq,IRQ,135.306,53.565,54.221,53.843,64.939,76.767,90.536,111.367,144.228,155.198,109.299,16.342,22.823,27.438,29.632,30.011,31.095,61.887,115.175,134.367
Israel,ISR,1.915,1.967,0.05,0.05,0.05,0.05,0.05,0.016,0.022,0.016,0.011,0.011,0.011,0.011,0.005,0.005,0.011,0.016,0.011,0.011
Italy,ITA,2.16,2.093,1.992,2.547,2.547,2.547,2.774,3.808,5.119,4.64,4.943,4.539,4.716,4.716,4.867,5.271,5.75,6.355,6.078,4.64
Jordan,JOR,,,,,,,0.05,0.025,0.025,0.011,0.016,0.016,0.003,0.002,0.001,0.002,0.002,0.002,0.002,0.002
Japan,JPN,0.544,0.378,0.479,0.479,0.429,0.605,0.706,0.656,0.656,0.605,0.605,0.807,0.933,0.656,0.605,0.605,0.656,0.53,0.479,0.429
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,24.109,22.092,22.47,22.42,24.816,28.195,28.472,32.684
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,0.126,0.101,0.076,0.101,0.101,0.101,0.076,0.076
Kuwait,KWT,90.503,61.307,44.865,57.979,63.224,55.759,77.347,86.375,81.533,97.169,64.031,10.365,57.827,100.927,110.358,112.124,112.704,109.375,113.637,103.448
Libya,LBY,95.255,60.601,61.131,58.735,57.953,56.289,54.977,51.674,62.644,61.131,73.085,78.835,76.388,72.353,73.261,73.892,74.674,76.868,73.892,70.109
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,,0.076,0.151,0.177,0.151,0.202,0.303,0.252
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Morocco,MAR,0.053,0.05,0.05,0.05,0.05,0.05,0.025,0.021,0.021,0.016,0.016,0.016,0.011,0.011,0.011,0.016,0.016,0.004,0.005,0.011
Moldova,MDA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Mexico,MEX,107.396,127.961,152.02,148.767,154.214,151.869,134.72,140.949,139.36,139.411,141.227,148.263,148.061,147.884,153.912,149.978,163.318,171.716,174.818,165.866
Middle East,MIDE,1003.976,854.774,684.873,629.62,617.21,557.619,674.483,699.827,786.959,865.896,895.172,873.99,944.199,990.326,1012.114,1028.785,1042.074,1079.274,1146.583,1110.822
North Macedonia,MKD,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Burma,MMR,1.667,1.488,1.664,1.664,1.791,1.664,1.337,0.933,0.731,0.832,0.731,0.832,0.782,0.782,0.782,0.53,0.454,0.504,0.605,0.53
Montenegro,MNE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mongolia,MNG,,,,,,,,,,,,,,,,,,,0.006,0.011
Malaysia,MYS,14.829,13.845,16.039,19.141,23.126,23.075,26.43,26.051,28.397,30.666,32.457,33.869,34.348,33.567,33.819,35.761,36.542,36.719,37.753,36.341
Namibia,NAM,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Nigeria,NGA,111.532,77.574,70.084,67.158,75.329,80.928,79.389,72.58,78.709,92.882,97.976,102.414,105.441,106.096,104.508,107.862,108.593,115.402,116.537,115.276
Netherlands,NLD,1.421,1.538,2.144,3.001,3.455,4.312,5.271,4.943,4.388,3.632,3.959,4.186,3.001,2.825,4.413,3.732,3.178,3.001,2.951,1.816
North America,NOAM,644.591,654.333,681.745,685.125,706.662,709.487,676.98,668.783,661.798,629.291,616.958,627.046,618.043,603.239,602.962,596.758,607.929,618.976,614.537,581.829
Non-OECD,NOEC,2428.006,2208.278,2023.777,1984.612,2017.725,1964.916,2121.22,2143.741,2271.276,2362.445,2398.628,2357.803,2359.792,2360.854,2371.645,2429.654,2479.635,2564.953,2640.152,2611.33
Norway,NOR,25.004,24.513,25.446,31.826,36.668,39.997,43.503,50.791,57.726,76.716,84.332,96.791,110.585,118.05,132.955,143.093,160.343,162.537,155.753,156.181
New Zealand,NZL,0.352,0.504,0.757,0.757,0.857,0.958,1.463,1.412,1.664,1.891,1.992,2.043,1.917,2.043,1.942,1.614,1.866,2.9,2.345,2.093
OECD - Asia And Oceania,OEAO,20.738,21.41,20.503,22.597,26.606,31.094,28.876,30.162,30.01,27.665,32.128,30.843,30.389,28.523,30.061,31.07,31.877,33.617,30.767,30.187
OECD,OECD,800.761,820.626,862.389,889.045,929.471,944.273,915.881,910.633,902.335,861.86,863.523,885.415,890.457,885.112,927.806,937.669,971.891,984.628,975.524,945.411
OECD - Europe,OEEU,131.756,140.747,157.846,179.255,194.185,201.775,208.386,210.099,209.241,203.744,213.378,226.618,241.218,252.593,294.153,309.261,331.606,331.631,329.791,332.991
OECD - North America,OENA,644.591,654.333,681.745,685.125,706.662,709.487,676.98,668.783,661.798,629.291,616.958,627.046,618.043,603.239,602.962,596.758,607.929,618.976,614.537,581.829
Oman,OMN,15.276,17.225,17.502,20.251,22.42,26.909,30.263,31.448,33.415,34.626,36.996,37.829,40.098,41.914,43.755,45.974,47.84,48.849,48.622,49.152
OPEC - Africa,OPAF,281.076,204.602,196.683,193.027,205.005,211.916,213.326,206.746,227.904,246.239,271.508,283.84,287.951,282.401,283.412,295.593,304.318,315.011,311.632,303.461
OPEC,OPEC,1475.872,1245.718,1042.831,977.213,978.775,910.457,1034.155,1038.241,1150.44,1243.199,1308.89,1314.339,1384.776,1422.755,1446.185,1481.72,1515.84,1579.343,1635.428,1569.002
OPEC - South America,OPSA,135.019,131.29,119.488,115.578,116.058,110.181,117.067,108.517,124.456,123.069,136.384,150.583,151.995,157.317,166.244,176.886,188.26,206.62,199.507,180.14
Pakistan,PAK,0.533,0.53,0.63,0.681,0.908,1.866,2.244,2.244,2.396,2.547,3.304,3.304,3.253,3.203,2.925,3.026,2.925,3.026,2.925,2.825
Peru,PER,10.495,10.365,10.466,9.18,9.911,10.188,9.558,8.801,7.591,6.986,6.935,6.179,6.254,6.759,6.86,6.986,6.456,6.33,6.229,5.699
Persian Gulf,PERG,977.498,826.175,658.292,599.912,585.131,520.622,632.695,654.282,729.333,801.764,826.022,797.879,867.156,905.413,918.955,932.045,943.191,979.558,1046.161,1009.618
Philippines,PHL,0.817,0.101,0.429,0.706,0.656,0.479,0.429,0.328,0.328,0.277,0.252,0.151,0.429,0.504,0.328,0.177,0.101,0.05,0.05,0.05
Papua New Guinea,PNG,,,,,,,,,,,,0.01,2.749,6.507,5.674,5.17,5.321,4.136,4.085,5.019
Poland,POL,0.376,0.378,0.277,0.227,0.227,0.227,0.227,0.151,0.151,0.151,0.101,0.151,0.177,0.252,0.277,0.252,0.277,0.328,0.404,0.479
Palestinian Territories,PSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
Qatar,QAT,25.042,21.537,17.552,15.686,21.007,16.014,16.367,15.585,18.46,20.2,21.587,21.007,22.546,21.966,22.067,23.504,27.186,29.254,37.022,35.357
Romania,ROU,12.697,12.811,12.887,12.761,12.635,11.702,11.752,11.449,10.289,9.583,8.675,7.44,7.263,7.087,7.339,7.187,7.213,7.137,7.011,6.658
Russia,RUS,--,--,--,--,--,--,--,--,--,--,--,--,414.222,364.264,332.059,324.468,317.507,320.433,316.852,329.033
Saudi Arabia,SAU,542.423,533.937,352.688,276.678,254.359,184.301,264.926,232.015,277.434,275.493,348.703,441.459,454.522,445.973,441.736,447.789,448.293,454.901,456.363,426.126
Former Serbia and Montenegro,SCG,--,--,--,--,--,--,--,--,--,--,--,--,1.236,1.236,1.286,1.185,1.185,1.084,0.958,0.958
Sudan,SDN,,,,,,,,,,,,,0.014,0.014,0.005,0.009,0.101,0.227,0.479,3.228
Serbia,SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Sudan,SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,SUN,635.324,641.37,644.75,647.978,643.741,627.046,643.816,652.214,654.156,634.082,594.034,540.822,--,--,--,--,--,--,--,--
Suriname,SUR,,,,,,0.05,0.126,0.126,0.177,0.227,0.227,0.202,0.303,0.303,0.353,0.404,0.429,0.303,0.404,0.58
Slovakia,SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,0.076,0.076,0.076,0.101,0.076,0.076,0.05
Slovenia,SVN,--,--,--,--,--,--,--,--,--,--,--,--,,0.003,0.002,0.002,0.001,0.001,0.001,0.001
Sweden,SWE,0.027,0.005,0.016,0.022,0.011,0.005,0.004,0.004,0.003,0.003,0.003,0.002,0.001,,0.005,0.005,0,0,0,0
Syria,SYR,9.287,9.407,9.079,9.457,9.659,10.088,10.995,13.038,15.056,19.267,21.991,27.892,27.337,31.398,31.751,32.583,33.087,31.801,31.347,30.49
Thailand,THA,0.017,0.017,0.353,0.63,1.059,1.967,2.043,1.917,2.093,2.32,2.547,2.673,2.976,3.026,3.253,2.976,3.556,4.186,4.363,4.892
Tajikistan,TJK,--,--,--,--,--,--,--,--,--,--,--,--,0.05,0.025,0.022,0.025,0.022,0.025,0.022,0.022
Turkmenistan,TKM,--,--,--,--,--,--,--,--,--,--,--,--,5.321,4.287,4.161,3.783,4.136,4.817,5.952,7.515
Timor-Leste,TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trinidad and Tobago,TTO,11.73,13.316,9.987,8.877,9.457,9.709,9.306,8.701,8.726,8.549,8.322,8.373,7.616,7.49,7.314,7.263,7.238,6.885,6.809,6.935
Tunisia,TUN,5.764,6.179,6.28,6.28,6.28,5.952,5.8,5.548,5.397,5.498,4.867,5.422,5.699,5.119,4.817,4.64,4.565,4.388,4.186,4.338
Turkiye,TUR,2.537,2.522,2.749,2.421,2.27,2.244,2.522,2.799,2.749,3.077,4.01,4.842,4.64,4.186,3.959,3.682,3.707,3.732,3.581,3.253
Taiwan,TWN,0.292,0.177,0.177,0.177,0.177,0.126,0.126,0.177,0.126,0.126,0.177,0.126,0.126,0.076,0.076,0.076,0.076,0.05,0.05,0.05
Ukraine,UKR,--,--,--,--,--,--,--,--,--,--,--,--,3.909,3.581,3.405,3.253,3.203,3.077,2.925,2.875
United States,USA,460.24,457.65,461.76,463.828,475.328,478.96,463.425,445.746,435.785,406.455,392.685,395.989,383.909,365.55,355.664,350.242,346.106,344.467,333.774,313.977
Uzbekistan,UZB,--,--,--,--,--,--,--,--,--,--,--,--,1.942,2.547,4.06,6.229,6.229,6.053,6.28,5.523
Venezuela,VEN,123.748,119.664,107.862,102.515,101.809,94.697,100.927,98.934,107.761,107.685,120.673,134.115,134.266,138.352,146.144,155.299,166.37,185.234,178.853,159.586
Vietnam,VNM,,,,,,,0.05,0.277,0.832,1.765,2.774,4.439,5.901,6.658,7.818,9.583,9.735,10.592,13.643,16.065
World,WORL,1475.872,1245.718,1042.831,977.213,978.775,910.457,1034.155,1038.241,1150.44,1243.199,1308.89,1314.339,1384.776,3245.966,3299.451,3367.323,3451.526,3549.581,3615.676,3556.741
Yemen,YEM,,,,,,,0.53,1.059,9.155,10.239,10.163,10.39,9.608,11.601,17.653,18.183,17.956,19.066,20.453,21.562
Former Yugoslavia,YUG,4.622,4.615,4.666,4.439,4.287,4.615,4.514,4.237,4.035,3.758,3.43,3.228,--,--,--,--,--,--,--,--
South Africa,ZAF,,,,,,,,,,,,,,,,,,,0.933,1.311
