Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Europe,EURO,6.251,6.304,7.338,9.229,10.264,10.945,11.979,12.635,13.063,11.979,10.669,11.603,12.561,13.114,16.519,19.015,18.839,17.754,17.577,17.148
France,FRA,1.052,1.084,0.807,0.807,0.807,0.681,0.555,0.479,0.479,0.479,0.454,0.404,0.53,0.53,0.53,0.479,0.479,0.404,0.227,0.277
United Kingdom,GBR,1.865,2.068,3.228,4.59,5.624,6.002,6.28,6.683,6.582,5.775,4.464,5.826,6.633,6.986,9.003,11.046,10.743,9.634,9.962,9.835
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0
Greece,GRC,0,,0.025,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.025,0.025,0.025,0.025,0.022,0.025,0.025,0.022,0.022
Hawaiian Trade Zone,HITZ,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,0.252,0.277,0.277,0.328,0.252,0.303,0.277,0.252
Hungary,HUN,0.81,0.807,0.857,0.857,0.883,1.009,1.009,0.883,0.933,0.605,0.605,0.53,0.53,0.454,0.454,0.454,0.404,0.605,0.656,0.605
Indonesia,IDN,2.623,3.556,3.001,3.505,2.799,1.639,1.11,1.11,1.135,2.698,2.875,2.85,2.799,2.925,3.001,2.85,3.001,3.178,3.253,3.253
India,IND,0,0.017,0.05,0.05,0.076,0.076,0.202,0.303,0.378,0.429,0.429,0.429,1.185,1.261,1.917,1.992,3.405,3.606,3.808,3.808
Iran,IRN,0.361,0.353,0.353,0.328,0.404,0.404,0.605,0.807,0.807,1.084,1.412,1.992,2.018,2.194,2.194,2.396,2.396,2.799,3.001,3.001
Iraq,IRQ,0.321,0.202,0.202,0.202,0.202,0.404,0.404,0.404,0.807,2.169,1.211,0,0.002,0.605,0.807,1.009,0.807,0.807,0.605,0.605
Italy,ITA,0.039,0.05,0.05,0.05,0.05,0.05,0.05,0.025,0.05,0.025,0.025,0.025,0.025,0.025,0.024,0.024,0.05,0.025,0.024,0.024
Japan,JPN,0.04,0.05,0.05,0.05,0.016,0.016,0.012,0.02,0.016,0.016,0.016,0.016,0.016,0.177,0.151,0.177,0.151,0.177,0.227,0.227
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Kuwait,KWT,3.674,2.32,1.538,2.118,2.598,2.093,2.9,3.657,3.859,4.06,2.497,0,1.311,2.043,3.278,3.657,3.278,4.212,4.439,4.439
Libya,LBY,1.606,1.412,1.614,1.211,1.488,1.034,1.211,1.211,1.211,1.412,1.412,1.614,1.614,1.639,1.639,1.614,1.967,2.396,2.396,2.396
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Moldova,MDA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Mexico,MEX,6.449,8.02,8.499,8.827,8.6,9.028,11.727,11.273,12.357,12.786,14.274,15.232,15.182,15.283,12.13,11.752,11.172,10.188,11.172,11.55
Middle East,MIDE,21.013,23.53,24.11,21.866,24.085,25.775,27.994,28.776,32.23,34.07,37.098,37.072,39.871,41.511,52.681,54.727,54.751,57.096,59.72,59.895
North Macedonia,MKD,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Burma,MMR,,0,0,0,0,,,,0.025,0.05,0.05,0.05,0.02,0.016,0.012,0.012,0.008,0.008,0.008,0.008
Montenegro,MNE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Malaysia,MYS,,,,,0.404,0.404,0.353,0.454,0.454,0.454,0.479,0.479,0.53,0.681,0.681,0.807,0.807,2.018,3.657,3.455
Namibia,NAM,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Netherlands,NLD,0.241,0.252,0.277,0.353,0.353,0.429,0.429,0.429,0.454,0.53,0.555,0.404,0.53,0.63,1.009,0.832,1.009,0.958,1.084,1.084
North America,NOAM,75.437,78.306,75.405,75.254,78.28,77.876,77.952,80.575,83.349,82.265,84.736,89.149,91.672,94.546,91.822,94.597,96.866,96.411,96.059,99.237
Non-OECD,NOEC,44.191,48.169,49.961,48.371,53.263,54.65,62.392,63.884,68.976,71.773,75.13,75.81,73.992,78.079,90.181,93.01,95.682,101.986,109.123,112.402
Norway,NOR,1.686,1.488,1.564,1.841,1.816,2.043,2.648,2.85,3.329,3.354,3.43,3.354,3.405,3.808,4.918,5.473,5.649,5.573,5.094,4.792
New Zealand,NZL,0.038,0.025,0.025,0.076,0.076,0.101,0.101,0.101,0.151,0.151,0.151,0.177,0.177,0.202,0.202,0.202,0.177,0.277,0.252,0.252
OECD - Asia And Oceania,OEAO,2.376,2.371,2.043,2.043,2.144,2.673,2.472,2.673,2.799,2.723,2.648,2.598,2.396,2.548,2.572,2.422,2.774,3.253,3.253,3.329
OECD,OECD,83.927,86.754,84.559,86.123,90.336,91.142,92,95.202,98.58,96.462,97.775,103.123,106.503,110.208,110.913,115.958,118.378,117.115,116.537,119.336
OECD - Europe,OEEU,5.654,5.699,6.733,8.448,9.483,10.164,11.198,11.576,12.054,11.096,9.937,10.947,12.006,12.66,16.065,18.435,18.284,17.174,17.023,16.593
OECD - North America,OENA,75.437,78.306,75.405,75.254,78.28,77.876,77.952,80.575,83.349,82.265,84.736,89.149,91.672,94.546,91.822,94.597,96.866,96.411,96.059,99.237
Oman,OMN,0.084,0.076,0.076,0.076,0.126,0.177,0.177,0.252,0.252,0.429,0.429,0.328,0.252,0.202,0.252,0.429,0.429,0.252,0.252,0.252
OPEC - Africa,OPAF,3.294,3.707,4.338,3.834,6.179,5.952,6.835,7.289,7.314,7.49,7.717,8.171,8.171,8.423,8.196,8.398,9.003,9.886,10.567,12.206
OPEC,OPEC,28.936,32.583,33.441,31.046,34.803,35.383,39.192,40.202,43.857,47.662,51.472,52.077,54.801,57.524,68.569,70.514,70.965,74.22,77.726,80.423
OPEC - South America,OPSA,2.323,2.118,2.32,2.194,2.219,2.421,3.758,3.632,3.783,4.161,4.413,4.514,4.489,5.674,5.775,5.876,5.951,5.649,5.75,6.708
Pakistan,PAK,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.076,0.126,0.101,0.126,0.202,0.126,0.126,0.126,0.177
Peru,PER,0.128,0.177,0.177,0.05,0.05,0.05,0.05,0.05,0.05,0.017,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Persian Gulf,PERG,21.013,23.53,24.11,21.866,23.959,25.598,27.817,28.524,31.978,33.641,36.669,36.744,39.619,40.981,52.101,53.794,53.414,55.936,58.56,58.685
Poland,POL,0.041,0.05,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.012,0.008,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Palestinian Territories,PSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
Qatar,QAT,0.35,0.832,1.059,0.883,0.984,1.059,0.757,0.832,1.059,0.832,1.387,1.74,1.917,1.917,1.74,1.917,1.74,2.446,2.976,3.884
Romania,ROU,0.597,0.605,0.605,0.63,0.63,0.63,0.63,0.63,0.555,0.555,0.328,0.328,0.303,0.177,0.177,0.252,0.303,0.277,0.277,0.303
Russia,RUS,--,--,--,--,--,--,--,--,--,--,--,--,8.801,8.398,7.641,6.885,7.087,7.44,8.398,8.827
Saudi Arabia,SAU,14.526,16.998,16.872,12.963,13.971,14.728,15.106,16.418,19.646,19.746,24.336,26.707,28.069,27.64,37.324,37.728,38.106,38.56,40.048,39.644
Former Serbia and Montenegro,SCG,--,--,--,--,--,--,--,--,--,--,--,--,,,0.076,0.076,0.076,0.076,0.076,0.076
Serbia,SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Sudan,SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,SUN,10.917,11.449,12.029,12.61,13.013,13.366,16.796,16.418,17.25,16.241,16.241,16.039,--,--,--,--,--,--,--,--
Slovakia,SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,
Slovenia,SVN,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Syria,SYR,,0,0,0,0,,0.05,0.05,0.05,0.076,0.076,0.076,0.076,0.328,0.328,0.504,0.908,0.908,0.908,0.958
Thailand,THA,0,0.05,0.202,0.252,0.454,0.731,0.63,0.555,0.63,0.429,0.53,0.53,0.555,0.605,0.883,1.488,1.412,1.992,2.396,2.446
Tajikistan,TJK,--,--,--,--,--,--,--,--,--,--,--,--,0.008,0.008,0.008,0.008,0.008,0.004,0.004,0.004
Turkmenistan,TKM,--,--,--,--,--,--,--,--,--,--,--,--,0.454,0.429,0.303,0.429,0.454,0.656,0.656,0.605
Timor-Leste,TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trinidad and Tobago,TTO,,,,,,,,,,,,0.126,0.202,0.252,0.252,0.303,0.353,0.328,0.303,0.605
Tunisia,TUN,,,,,,,,0.126,0.202,0.202,0.202,0.202,0.202,0.151,0.151,0.05,0.05,0.05,0.05,0.05
Taiwan,TWN,0.071,0.177,0.101,0.101,0.101,0.076,0.076,0.076,0.076,0.076,0.025,0.025,0.025,0.025,0.025,0.018,0.025,0.025,0.018,0.018
Ukraine,UKR,--,--,--,--,--,--,--,--,--,--,--,--,0.908,0.984,1.135,1.185,1.261,1.387,1.311,1.211
United States,USA,56.828,58.206,55.255,55.104,57.348,56.491,54.221,55.86,56.995,54.448,54.851,58.13,59.593,60.727,60.324,61.56,63.804,62.921,61.03,63.754
Uzbekistan,UZB,--,--,--,--,--,--,--,--,--,--,--,--,1.16,1.463,1.538,1.715,1.917,1.715,1.715,1.715
Venezuela,VEN,2.323,2.118,2.32,2.194,2.219,2.421,3.758,3.632,3.783,4.161,4.413,4.514,4.363,5.523,5.649,5.75,5.8,5.523,5.599,6.557
World,WORL,28.936,32.583,33.441,31.046,34.803,35.383,39.192,40.202,43.857,47.662,51.472,52.077,54.801,188.287,201.094,208.968,214.06,219.101,225.66,231.738
Former Yugoslavia,YUG,0.08,0.076,0.076,0.151,0.151,0.151,0.151,0.429,0.454,0.328,0.404,0.328,--,--,--,--,--,--,--,--
South Africa,ZAF,,,,,,,,,,,,,0.076,0.479,0.479,0.479,0.479,0.479,0.479,0.404
