Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
United Kingdom,GBR,3675966.249,4047194.432,4614814.507,5120186.283,5556979.425,5654044.568,5674090.63,5376564.866,5002020.022,4027148.37,4067240.495,4015542.755,4089396.668,4279306.73,5306931.177,5562254.705,5754274.879,5626613.115,5846064.742,5997992.792
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,6330.335,4220.224,4220.224,2110.112,3165.168,6330.335,5275.28,5275.28
Ghana,GHA,4558.12,4220.224,4220.224,4220.224,4220.224,2110.112,685.778,,,,,,2110.112,3165.168,3165.168,9495.503,13715.727,11605.615,11605.615,13715.727
Equatorial Guinea,GNQ,,,,,,,,,,,,210.416,3165.168,9495.503,10550.559,10550.559,35871.901,109725.814,175139.279,214176.348
Greece,GRC,,17935.95,47477.516,54862.907,59083.13,56973.019,56973.019,54862.907,48532.571,39037.068,33761.789,36926.957,29541.565,25321.342,23211.23,20046.062,17935.95,21101.118,14770.783,684.623
Guatemala,GTM,11478.322,11605.615,13715.727,15825.839,11605.615,7385.391,11605.615,9495.503,7385.391,9495.503,9495.503,10550.559,10550.559,15825.839,18991.006,22156.174,29541.565,36926.957,54862.907,52752.795
Hawaiian Trade Zone,HITZ,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,81239.304,81239.304,87569.64,71743.801,67523.578,65413.466,69633.689,55917.963
Hungary,HUN,91696.06,91789.863,99175.255,96010.087,96010.087,88624.696,88624.696,84404.472,93899.975,86514.584,96010.087,82294.36,79129.193,82294.36,93899.975,84404.472,77019.081,84404.472,62248.298,58028.075
Indonesia,IDN,3550841.529,3604070.954,2959431.8,2968927.303,3129295.799,2928835.178,3072322.781,2968927.303,2974202.582,3114525.017,3231636.222,3518611.427,3333976.644,3340306.979,3338196.868,3322371.029,3428931.675,3360353.042,3355077.762,3253792.396
India,IND,402630.589,717438.012,860925.614,1059276.124,1147900.819,1367352.446,1389508.62,1343086.161,1404279.403,1544601.838,1455977.142,1356801.887,1240745.738,1178497.44,1301938.981,1550932.173,1440151.304,1488683.875,1458087.254,1440151.304
Iran,IRN,3778812.79,3129295.799,5019955.972,5532713.14,4942936.892,5102250.332,4613759.451,5210921.09,5092754.829,6371482.58,7001350.952,7509887.896,7796863.101,8026865.287,8204114.678,8260032.641,8380309.014,8307510.157,8239986.579,8064847.3
Iraq,IRQ,5660631.329,2240938.732,2268370.185,2252544.347,2716768.943,3211590.16,3787650.681,4659126.854,6033864.692,6492814.009,4572612.271,683676.223,954825.59,1147900.819,1239690.683,1255516.521,1300883.925,2589107.179,4818440.295,5621337.835
Israel,ISR,80104.982,82294.36,2110.112,2110.112,2110.112,2110.112,2110.112,687.626,914.404,683.929,455.953,455.953,457.202,455.953,227.976,227.976,457.202,683.929,455.953,455.953
Italy,ITA,90360.752,87569.64,83349.416,106560.646,106560.646,106560.646,116056.149,159313.441,214176.348,194130.286,206790.956,189910.062,197295.453,197295.453,203625.789,220506.683,240552.745,265874.087,254268.472,194130.286
Jordan,JOR,,,,,,,2110.112,1055.056,1055.056,458.726,688.088,688.088,114.996,71.102,57.318,68.809,71.297,91.745,71.102,91.745
Japan,JPN,22779.016,15825.839,20046.062,20046.062,17935.95,25321.342,29541.565,27431.453,27431.453,25321.342,25321.342,33761.789,39037.068,27431.453,25321.342,25321.342,27431.453,22156.174,20046.062,17935.95
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,1008633.44,924228.968,940054.807,937944.695,1038175.006,1179552.496,1191158.111,1367352.446
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,5275.28,4220.224,3165.168,4220.224,4220.224,4220.224,3165.168,3165.168
Kuwait,KWT,3786273.217,2564840.893,1876944.446,2425573.514,2645025.141,2332728.595,3235856.445,3613566.458,3410995.725,4065130.383,2678786.93,433627.975,2419243.179,4222333.712,4616924.618,4690778.531,4715044.817,4575777.438,4754081.885,4327839.302
Libya,LBY,3985043.78,2535299.328,2557455.502,2457225.191,2424518.458,2354884.769,2300021.862,2161809.539,2620758.856,2557455.502,3057551.998,3298104.743,3195764.321,3026955.377,3064937.39,3091313.787,3124020.52,3215810.383,3091313.787,2933055.402
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,,3165.168,6330.335,7385.391,6330.335,8440.447,12660.671,10550.559
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Morocco,MAR,2215.731,2110.112,2110.112,2110.112,2110.112,2110.112,1055.056,886.182,886.293,662.903,662.903,662.903,443.146,441.935,441.935,662.903,664.719,176.774,220.968,441.935
Moldova,MDA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Mexico,MEX,4492999.609,5353353.637,6359876.965,6223774.754,6451666.829,6353546.63,5636108.618,5896707.425,5830238.903,5832349.015,5908313.04,6202673.636,6194233.189,6186847.798,6439006.158,6274417.437,6832542.008,7183875.623,7313647.499,6939102.654
Middle East,MIDE,42002081.672,35760064.676,28654263.189,26342635.713,25823548.209,23330451.117,28221690.27,29278856.28,32924074.417,36225344.328,37450264.226,36564017.271,39501292.898,41430990.138,42342558.435,43039950.384,43595964.844,45152172.296,47968116.493,46472047.228
North Macedonia,MKD,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Burma,MMR,69738.773,62248.298,69633.689,69633.689,74908.969,69633.689,55917.963,39037.068,30596.621,34816.845,30596.621,34816.845,32706.733,32706.733,32706.733,22156.174,18991.006,21101.118,25321.342,22156.174
Montenegro,MNE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mongolia,MNG,,,,,,,,,,,,,,,,,,,231.442,462.885
Malaysia,MYS,620385.853,579225.689,671015.552,800787.428,967486.26,965376.149,1105698.583,1089872.745,1187992.943,1282947.974,1357856.943,1416940.074,1436986.136,1404279.403,1414829.962,1496069.266,1528775.999,1536161.39,1579418.682,1520335.552
Namibia,NAM,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Nigeria,NGA,4666010.461,3245351.948,2932000.346,2809613.862,3151451.973,3385674.383,3321315.973,3036450.88,3292829.464,3885770.88,4098892.172,4284582.01,4411188.718,4438620.171,4372151.65,4512474.084,4543070.705,4827935.798,4875413.314,4822660.519
Netherlands,NLD,59447.863,64358.41,89679.752,125551.652,144542.658,180414.559,220506.683,206790.956,183579.727,151928.05,165643.776,175139.279,125551.652,118166.261,184634.783,156148.273,132937.043,125551.652,123441.54,75964.025
North America,NOAM,26966937.039,27374480.382,28521326.145,28662703.635,29563721.374,29681887.635,28321920.579,27979027.413,27686776.927,26326809.872,25810887.538,26232909.898,25856254.942,25236937.129,25225331.514,24965787.761,25433177.525,25895292.009,25709602.172,24341194.669
Non-OECD,NOEC,101581904.091,92387024.945,84670346.088,83031844.278,84415022.559,82211010.787,88749192.199,89690302.059,95025719.753,98837636.714,100353752.043,98647726.656,98741626.632,98786994.033,99237502.904,101659911.242,103751032.042,107321341.209,110470683.066,109261589.011
Norway,NOR,1046067.693,1025514.335,1064551.403,1331480.546,1534051.279,1673318.657,1819971.428,2124882.583,2415022.955,3209480.048,3528106.93,4049304.544,4626420.122,4938716.668,5562254.705,5986387.177,6708045.412,6799835.276,6516025.238,6533961.189
New Zealand,NZL,14707.313,21101.118,31651.677,31651.677,35871.901,40092.124,61193.242,59083.13,69633.689,79129.193,83349.416,85459.528,80184.248,85459.528,81239.304,67523.578,78074.137,121331.429,98120.199,87569.64
OECD - Asia And Oceania,OEAO,867578.526,895742.46,857760.447,945330.086,1113083.975,1300883.925,1208039.005,1261846.856,1255516.52,1157396.323,1344141.217,1290333.366,1271342.359,1193268.223,1257626.633,1299828.87,1333590.658,1406389.515,1287168.198,1262901.912
OECD,OECD,33503796.279,34333629.101,36082911.784,37198105.869,38889360.475,39508678.289,38320685.344,38099123.605,37752010.212,36058645.495,36128279.187,37041957.591,37252968.774,37032462.091,38818671.732,39231198.586,40659744.274,41195712.671,40814837.492,39554045.693
OECD - Europe,OEEU,5515521.393,5890377.092,6605704.993,7501447.452,8126040.542,8443612.369,8720037.014,8791780.814,8755908.914,8525906.729,8928938.084,9480732.315,10091609.684,10570605.062,12309337.187,12941315.669,13872930.029,13877150.253,13800131.172,13933068.218
OECD - North America,OENA,26966937.039,27374480.382,28521326.145,28662703.635,29563721.374,29681887.635,28321920.579,27979027.413,27686776.927,26326809.872,25810887.538,26232909.898,25856254.942,25236937.129,25225331.514,24965787.761,25433177.525,25895292.009,25709602.172,24341194.669
Oman,OMN,639101.407,720603.18,732208.795,847209.888,937944.695,1125744.645,1266067.08,1315654.707,1397949.068,1448591.751,1547767.005,1582583.85,1677538.881,1753502.906,1830521.987,1923366.906,2001441.042,2043643.278,2034147.775,2056303.949
OPEC - Africa,OPAF,11758959.183,8559668.517,8228380.965,8075397.858,8576549.411,8865634.728,8924717.858,8649348.268,9534540.17,10301565.808,11358731.82,11874654.155,12046628.267,11814515.968,11856718.205,12366310.204,12731359.546,13178703.247,13037325.756,12695487.645
OPEC,OPEC,61744150.181,52115541.238,43627616.522,40882361.07,40947774.535,38089628.103,43264677.292,43435596.347,48129540.049,52010035.648,54758456.267,54986348.342,57933119.472,59522033.654,60502180.587,61988754.347,63416244.981,66072875.739,68419320.058,65640302.82
OPEC - South America,OPSA,5648630.545,5492621.016,4998854.854,4835321.19,4855367.252,4609539.228,4897569.488,4539905.538,5206700.867,5148672.792,5705742.308,6299738.779,6358821.91,6581438.704,6954928.493,7400162.082,7875992.293,8644072.989,8346547.225,7536264.294
Pakistan,PAK,22304.051,22156.174,26376.398,28486.509,37982.012,78074.137,93899.975,93899.975,100230.311,106560.646,138212.323,138212.323,136102.211,133992.099,122386.484,126606.708,122386.484,126606.708,122386.484,118166.261
Peru,PER,439070.449,433627.975,437848.199,384040.348,414636.969,426242.584,399866.186,368214.509,317571.826,292250.484,290140.373,258488.696,261653.863,282754.981,286975.205,292250.484,270094.31,264819.031,260598.807,238442.633
Persian Gulf,PERG,40894353.86,34563631.285,27540124.158,25097669.75,24479406.992,21780574,26469242.42,27372370.269,30512216.629,33542337.174,34557300.948,33379858.565,36278097.123,37878616.922,38445181.94,38992755.951,39459090.66,40980481.268,43766883.899,42238107.901
Philippines,PHL,34174.316,4220.224,17935.95,29541.565,27431.453,20046.062,17935.95,13715.727,13715.727,11605.615,10550.559,6330.335,17935.95,21101.118,13715.727,7385.391,4220.224,2110.112,2110.112,2110.112
