Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Bolivia,BOL,7970.145,6330.335,9495.503,9495.503,9495.503,9495.503,8440.447,6330.335,8440.447,8440.447,8440.447,8440.447,11605.615,11605.615,11605.615,9495.503,10550.559,13715.727,13715.727,13715.727
Brazil,BRA,9846.837,11605.615,12660.671,17935.95,24266.286,27431.453,32706.733,41147.18,41147.18,35871.901,32706.733,35871.901,41147.18,41147.18,56973.019,65413.466,56973.019,49587.627,56973.019,53807.851
Brunei,BRN,60886.274,43257.292,43257.292,43257.292,26376.398,26376.398,26376.398,18991.006,18991.006,16880.894,16880.894,16880.894,21101.118,22156.174,22156.174,22156.174,18991.006,26376.398,37982.012,37982.012
Canada,CAN,508706.892,505371.776,487435.826,473720.099,515922.335,516977.391,502206.608,562344.795,585556.025,628813.316,653079.602,660464.993,706887.453,775466.087,810282.931,890467.18,915788.521,974871.652,998082.881,1001248.049
Chile,CHL,19234.927,15825.839,15825.839,15825.839,17935.95,17935.95,15825.839,15825.839,15825.839,15825.839,18991.006,17935.95,17935.95,18991.006,18991.006,21101.118,18991.006,11605.615,8440.447,7385.391
Congo-Brazzaville,COG,,,,,,,,,,,,,,,,,,20046.062,20046.062,22156.174
Colombia,COL,7606.392,7385.391,7385.391,5275.28,5275.28,5275.28,6330.335,7385.391,5275.28,10550.559,10550.559,7385.391,7385.391,6330.335,6330.335,6330.335,12660.671,5275.28,5275.28,6330.335
Central & South America,CSAM,171335.346,160368.497,173029.168,159313.442,179359.504,199405.565,274314.535,283810.038,289085.318,291195.43,303856.1,316516.771,323902.162,382985.291,415692.026,428352.696,433627.976,407251.579,417802.138,463169.54
Former Czechoslovakia,CSK,161.432,158.251,179.377,179.377,179.367,179.377,179.377,179.377,179.367,178.877,178.877,178.877,179.367,--,--,--,--,--,--,--
Cuba,CUB,1682.071,2110.112,2110.112,2110.112,2110.112,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,4220.224,4220.224,3165.168
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,110.904,178.877,39.353,179.367,357.754,357.754,357.754
East,DDR,,,,,,,,,,,,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,
West,DEUW,,,,,,,,,,,,--,--,--,--,--,--,--,--,--
Algeria,DZA,70619.196,96010.087,113946.037,109725.814,196240.397,205735.901,235277.466,254268.472,255323.528,254268.472,263763.975,274314.534,274314.534,283810.037,274314.534,283810.037,294360.596,313351.602,341838.112,410416.745
Ecuador,ECU,3269.15,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,5275.28,6330.335,5275.28,5275.28,6330.335,5275.28,6330.335,6330.335
Egypt,EGY,32428.916,32706.733,37982.012,47477.516,47477.516,51697.739,45367.404,47477.516,66468.522,85459.528,75964.025,85459.528,26376.398,33761.789,33761.789,35871.901,40092.124,43257.292,45367.404,56973.019
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,
Spain,ESP,,,,,,,11605.615,10550.559,11605.615,14770.783,17935.95,17935.95,15825.839,10550.559,6330.335,6330.335,0,0,0,0
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
European Union,EU27,195981.784,207846.014,246883.082,312296.549,356608.897,375599.901,393535.852,397756.076,397756.075,353443.728,292250.485,335507.776,375599.902,380875.18,475830.21,553904.347,546518.956,500096.497,511702.112,508536.945
Eurasia,EURA,456719.456,478995.379,503261.664,527527.95,544408.844,559179.627,702667.229,686841.391,721658.236,679456,679456,671015.552,488490.881,484270.658,456839.206,438903.254,457894.26,480050.435,516977.391,528583.006
Europe,EURO,269852.367,273259.48,315461.716,395645.965,438903.257,467389.764,510647.057,534913.343,556014.46,507481.89,452618.981,489545.938,528583.008,551794.236,696336.894,799732.372,796567.205,749089.69,739594.187,722713.293
France,FRA,44025.014,45367.404,33761.789,33761.789,33761.789,28486.509,23211.23,20046.062,20046.062,20046.062,18991.006,16880.894,22156.174,22156.174,22156.174,20046.062,20046.062,16880.894,9495.503,11605.615
United Kingdom,GBR,78021.7,86514.584,135047.155,192020.174,235277.466,251103.304,262708.919,279589.814,275369.59,241607.801,186744.894,243717.913,277479.702,292250.484,376654.956,462114.484,449453.813,403031.354,416747.081,411471.801
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0
Greece,GRC,0,,1055.056,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168,1055.056,1055.056,1055.056,1055.056,935.782,1055.056,1055.056,935.782,935.782
Hawaiian Trade Zone,HITZ,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,10550.559,11605.615,11605.615,13715.727,10550.559,12660.671,11605.615,10550.559
Hungary,HUN,33880.841,33761.789,35871.901,35871.901,36926.957,42202.236,42202.236,36926.957,39037.068,25321.342,25321.342,22156.174,22156.174,18991.006,18991.006,18991.006,16880.894,25321.342,27431.453,25321.342
Indonesia,IDN,109743.961,148762.882,125551.652,146652.77,117111.205,68578.634,46422.46,46422.46,47477.516,112890.981,120276.373,119221.317,117111.205,122386.484,125551.652,119221.317,125551.652,132937.043,136102.211,136102.211
India,IND,0,708.576,2110.112,2110.112,3165.168,3165.168,8440.447,12660.671,15825.839,17935.95,17935.95,17935.95,49587.627,52752.795,80184.248,83349.416,142432.547,150872.994,159313.441,159313.441
Iran,IRN,15107.364,14770.783,14770.783,13715.727,16880.894,16880.894,25321.342,33761.789,33761.789,45367.404,59083.13,83349.416,84404.472,91789.863,91789.863,100230.311,100230.311,117111.205,125551.652,125551.652
Iraq,IRQ,13441.125,8440.447,8440.447,8440.447,8440.447,16880.894,16880.894,16880.894,33761.789,90734.807,50642.683,0,93.519,25321.342,33761.789,42202.236,33761.789,33761.789,25321.342,25321.342
Italy,ITA,1639.981,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,1055.056,2110.112,1055.056,1055.056,1055.056,1055.056,1055.056,984.073,984.073,2110.112,1055.056,984.073,984.073
Japan,JPN,1682.071,2110.112,2110.112,2110.112,675.3,675.303,499.777,832.961,668.349,666.523,666.523,666.523,668.349,7385.391,6330.335,7385.391,6330.335,7385.391,9495.503,9495.503
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,160.252,159.815,159.815,159.815,160.252,159.815,159.815,159.815
Kuwait,KWT,153707.19,97065.143,64358.41,88624.696,108670.758,87569.64,121331.429,152983.106,161423.553,169864,104450.534,0,54862.907,85459.528,137157.267,152983.106,137157.267,176194.335,185689.838,185689.838
Libya,LBY,67190.18,59083.13,67523.578,50642.683,62248.298,43257.292,50642.683,50642.683,50642.683,59083.13,59083.13,67523.578,67523.578,68578.634,68578.634,67523.578,82294.36,100230.311,100230.311,100230.311
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Moldova,MDA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Mexico,MEX,269787.88,335507.776,355553.838,369269.565,359774.062,377710.012,490600.994,471609.987,516977.391,534913.341,597161.639,637253.764,635143.652,639363.875,507481.888,491656.049,467389.764,426242.584,467389.764,483215.602
Middle East,MIDE,882639.55,987532.324,1011798.609,917898.635,1007578.385,1078267.13,1173222.161,1205928.895,1350471.553,1428545.69,1555152.397,1554097.341,1671208.546,1736622.011,2204011.775,2289471.303,2290526.359,2388646.557,2498372.37,2505757.763
North Macedonia,MKD,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Burma,MMR,,0,0,0,0,,,,1055.056,2110.112,2110.112,2110.112,839.491,669.758,502.318,502.318,335.796,334.879,334.879,334.879
Montenegro,MNE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Malaysia,MYS,,,,,16880.894,16880.894,14770.783,18991.006,18991.006,18991.006,20046.062,20046.062,22156.174,28486.509,28486.509,33761.789,33761.789,84404.472,152983.106,144542.658
Namibia,NAM,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Netherlands,NLD,10073.893,10550.559,11605.615,14770.783,14770.783,17935.95,17935.95,17935.95,18991.006,22156.174,23211.23,16880.894,22156.174,26376.398,42202.236,34816.845,42202.236,40092.124,45367.404,45367.404
North America,NOAM,3155915.801,3275948.569,3154617.141,3148286.806,3274893.514,3258012.619,3261177.787,3370903.601,3486959.75,3441592.345,3544987.824,3729622.607,3835128.197,3955404.569,3841458.532,3957514.681,4052469.712,4033478.707,4018707.923,4151644.966
Non-OECD,NOEC,1863612.318,2028872.498,2103781.466,2036257.891,2238828.622,2301076.92,2623924.026,2686172.325,2900348.673,3017459.876,3157782.31,3189433.988,3108194.684,3272783.401,3782375.405,3901596.72,4014487.701,4274031.454,4572612.274,4712934.706
Norway,NOR,70517.252,62248.298,65413.466,77019.081,75964.025,85459.528,110780.87,119221.317,139267.379,140322.435,143487.602,140322.435,142432.547,159313.441,205735.901,228947.13,236332.522,233167.354,213121.292,200460.621
New Zealand,NZL,1576.266,1055.056,1055.056,3165.168,3165.168,4220.224,4220.224,4220.224,6330.335,6330.335,6330.335,7385.391,7385.391,8440.447,8440.447,8440.447,7385.391,11605.615,10550.559,10550.559
OECD - Asia And Oceania,OEAO,102653.465,102340.423,88624.696,90734.808,92844.92,111835.926,103395.479,111835.926,117111.205,113946.037,110780.869,108670.757,100230.31,106560.645,107615.701,101285.366,116056.148,136102.211,136102.211,139267.379
OECD,OECD,3519327.017,3638887.801,3546042.882,3617786.685,3791870.908,3822467.526,3858339.429,3989166.361,4133709.018,4041919.154,4096782.059,4318343.798,4458666.235,4613759.45,4642245.959,4852202.083,4957707.673,4902844.769,4876468.37,4994634.631
OECD - Europe,OEEU,241522.824,244772.97,286975.206,362939.232,406196.524,434683.031,477940.324,490600.995,513812.224,470554.933,422022.36,462114.484,505371.778,532803.23,674180.72,772300.918,770190.807,721658.236,713217.789,696336.895
OECD - North America,OENA,3155915.801,3275948.569,3154617.141,3148286.806,3274893.514,3258012.619,3261177.787,3370903.601,3486959.75,3441592.345,3544987.824,3729622.607,3835128.197,3955404.569,3841458.532,3957514.681,4052469.712,4033478.707,4018707.923,4151644.966
Oman,OMN,3533.277,3165.168,3165.168,3165.168,5275.28,7385.391,7385.391,10550.559,10550.559,17935.95,17935.95,13715.727,10550.559,8440.447,10550.559,17935.95,17935.95,10550.559,10550.559,10550.559
OPEC - Africa,OPAF,137809.376,155093.217,181469.615,160368.497,258488.695,248993.193,285920.149,304911.155,305966.211,313351.602,322847.105,341838.112,341838.112,352388.671,342893.168,351333.615,376654.956,413581.913,442068.423,510647.056
OPEC,OPEC,1213876.326,1366297.392,1402169.292,1301938.982,1459142.309,1483408.597,1642722.037,1684924.274,1837907.379,1997220.82,2156534.261,2181855.602,2292636.472,2406582.507,2868696.993,2949936.298,2968927.303,3105029.514,3251682.284,3364573.266
OPEC - South America,OPSA,100463.221,91789.864,100230.311,94955.031,96010.087,104450.534,160368.497,155093.218,161423.553,177249.392,187799.951,192020.174,187799.951,237387.577,241607.802,245828.025,248993.192,236332.522,240552.745,280644.869
Pakistan,PAK,338.577,337.652,337.652,337.652,337.65,337.652,337.652,337.652,337.65,336.727,336.727,3165.168,5275.28,4220.224,5275.28,8440.447,5275.28,5275.28,5275.28,7385.391
Peru,PER,5355.521,7385.391,7385.391,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,711.194,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112
Persian Gulf,PERG,879106.273,984367.156,1008633.441,914733.467,1002303.105,1070881.739,1163726.658,1193268.224,1337810.882,1407444.572,1534051.279,1537216.446,1657492.819,1714465.837,2179745.489,2250434.235,2234608.397,2340113.986,2449839.799,2455115.08
Poland,POL,1713.736,2110.112,854.527,2110.112,2110.112,2110.112,2110.112,2110.112,2110.112,514.564,343.043,97.767,98.035,102.913,102.913,92.622,103.195,102.913,102.913,102.913
Palestinian Territories,PSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
Qatar,QAT,14635.102,34816.845,44312.348,36926.957,41147.18,44312.348,31651.677,34816.845,44312.348,34816.845,58028.075,72798.857,80184.248,80184.248,72798.857,80184.248,72798.857,102340.422,124496.596,162478.609
Romania,ROU,24976.212,25321.342,25321.342,26376.398,26376.398,26376.398,26376.398,26376.398,23211.23,23211.23,13715.727,13715.727,12660.671,7385.391,7385.391,10550.559,12660.671,11605.615,11605.615,12660.671
Russia,RUS,--,--,--,--,--,--,--,--,--,--,--,--,368214.509,351333.615,319681.938,288030.261,296470.708,311241.491,351333.615,369269.565
Saudi Arabia,SAU,607717.801,711107.677,705832.397,542298.733,584500.969,616152.646,631978.484,686841.391,821888.546,826108.77,1018128.944,1117304.198,1174277.217,1156341.266,1561482.732,1578363.626,1594189.465,1613180.471,1675428.769,1658547.875
Former Serbia and Montenegro,SCG,--,--,--,--,--,--,--,--,--,--,--,--,,,3165.168,3165.168,3165.168,3165.168,3165.168,3165.168
Serbia,SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Sudan,SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,SUN,456719.456,478995.379,503261.664,527527.95,544408.844,559179.627,702667.229,686841.391,721658.236,679456,679456,671015.552,--,--,--,--,--,--,--,--
Slovakia,SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,
Slovenia,SVN,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Syria,SYR,,0,0,0,0,,2110.112,2110.112,2110.112,3165.168,3165.168,3165.168,3165.168,13715.727,13715.727,21101.118,37982.012,37982.012,37982.012,40092.124
Thailand,THA,0,2110.112,8440.447,10550.559,18991.006,30596.621,26376.398,23211.23,26376.398,17935.95,22156.174,22156.174,23211.23,25321.342,36926.957,62248.298,59083.13,83349.416,100230.311,102340.422
Tajikistan,TJK,--,--,--,--,--,--,--,--,--,--,--,--,320.505,319.629,319.629,319.629,320.505,159.815,159.815,159.815
Turkmenistan,TKM,--,--,--,--,--,--,--,--,--,--,--,--,18991.006,17935.95,12660.671,17935.95,18991.006,27431.453,27431.453,25321.342
Timor-Leste,TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trinidad and Tobago,TTO,,,,,,,,,,,,5275.28,8440.447,10550.559,10550.559,12660.671,14770.783,13715.727,12660.671,25321.342
Tunisia,TUN,,,,,,,,5275.28,8440.447,8440.447,8440.447,8440.447,8440.447,6330.335,6330.335,2110.112,2110.112,2110.112,2110.112,2110.112
Taiwan,TWN,2954.823,7385.391,4220.224,4220.224,4220.224,3165.168,3165.168,3165.168,3165.168,3165.168,1055.056,1055.056,1055.056,1055.056,1055.056,736.495,1055.056,1031.093,736.495,736.495
Ukraine,UKR,--,--,--,--,--,--,--,--,--,--,--,--,37982.012,41147.18,47477.516,49587.627,52752.795,58028.075,54862.907,50642.683
United States,USA,2377421.029,2435069.017,2311627.477,2305297.142,2399197.117,2363325.216,2268370.185,2336948.819,2384426.334,2277865.688,2294746.583,2431903.85,2493097.092,2540574.607,2523693.713,2575391.452,2669291.427,2632364.471,2553235.278,2667181.315
Uzbekistan,UZB,--,--,--,--,--,--,--,--,--,--,--,--,48532.571,61193.242,64358.41,71743.801,80184.248,71743.801,71743.801,71743.801
Venezuela,VEN,97194.071,88624.696,97065.143,91789.863,92844.919,101285.366,157203.329,151928.05,158258.385,174084.224,184634.783,188855.006,182524.671,231057.242,236332.522,240552.745,242662.857,231057.242,234222.41,274314.534
World,WORL,1213876.326,1366297.392,1402169.292,1301938.982,1459142.309,1483408.597,1642722.037,1684924.274,1837907.379,1997220.82,2156534.261,2181855.602,2292636.472,7886542.851,8424621.364,8753798.803,8972195.374,9176876.223,9449080.644,9707569.337
Former Yugoslavia,YUG,3353.331,3165.168,3165.168,6330.335,6330.335,6330.335,6330.335,17935.95,18991.006,13715.727,16880.894,13715.727,--,--,--,--,--,--,--,--
South Africa,ZAF,,,,,,,,,,,,,3165.168,20046.062,20046.062,20046.062,20046.062,20046.062,20046.062,16880.894
