Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cameroon,CMR,,,,,NA,NA,1.1,1.2,1.1,1.1,1.1,0.3,0,0.3,0.4,0.4,0.4,1.6,1.6,1.6,0.4,0.4,0.4,1.9,1.8,0.2,2.4,2.4,2.4,2.4,2.3,2.4,2.5,2.6,2.770383561643833,
Congo-Kinshasa,COD,,,,,NA,NA,3.1,3.1,2.8,2.8,2.8,2.9,0.6,2.9,3,3.2,2.5,2.5,3.1,2.5,0.0363934426229508,0.0364931506849315,0.0364931506849315,0.0364931506849315,2.6,2.5,2.6,3,0.3,0.3,3.2,3.2,3.3,3.6,4.91008219178082,
Congo-Brazzaville,COG,,,,,NA,NA,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.8,0.8,0,0,0,0.2,0.2,0.1,0,0.6,0.9,0,1.3,1.3,1.3,1.4,0.869041095890411,
Cook Islands,COK,,,,,NA,NA,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0.0434520547945205,0.0434520547945205,
Colombia,COL,,,,,NA,NA,4,3.8,2.9,2.5,2.5,2.8,2.5,2.4,2.4,2.4,3.8,3.5,4.1,3.5,3.5,4.6,4.7,19,18,15,17,19,18,21,28,30,42,38,39.8707397260274,
Comoros,COM,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651780821917808,0.0651780821917808,
Cabo Verde,CPV,,,,,NA,NA,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0.3,0.4,0.4,0.4,0.4,2.3,2.314712328767122,
Costa Rica,CRI,,,,,NA,NA,0,0,1.8,1.5,1.7,1,1.4,1.3,1.3,1.3,1.3,1.3,1.3,2.5,0,0,0,0,0,0,0,3.9,0,3.4,3.4,4,3.6,3.4,3.3667123287671257,
Central & South America,CSAM,2,1,1,0,0,0,128.2,125.2,133.6,124.7,124.5,139,117.5,157.3,169.6,168,193.5,191.3,199.7,198.5,181.1,216.6,234.1,278,300.8,283,323.2,346.9,323.4,359.3,412.4,455.1,453.1,455.5,466.8428767123289,
Former Czechoslovakia,CSK,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Cuba,CUB,,,,,NA,NA,5.7,3.5,4.1,4.1,3.3,3.3,1.8,1.3,1.2,1.2,1.3,3.3,8,8,1.9,1.9,1.3,4.8,6,2.8,3.9,4.8,0.9,3.6,3.6,3.8,5.7,3.8,15.91046575342466,
Cayman Islands,CYM,,,,,NA,NA,0,0.02172,0.3,0.3,0.2,0.1,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.217260273972603,
Cyprus,CYP,,,,,NA,NA,0.5,3.1,1.1,1.5,6.2,5.2,1.1,0.9,6.3,6.9,7.3,7.2,7.5,8.5,3.6,3.6,2.6,8.8,7.5,11,12,12,11,9.9,9.3,10,9.4,9.7,9.44550684931507,
Czechia,CZE,,,,,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East,DDR,0,0,0,0,12,11,9.1,11,11,11,5.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Germany,DEU,,,,,--,--,--,--,--,--,--,38,34,42,39,39,39,41,38,39,41,42,45,49,49,46,48,57,55,51,52,51,47,43,42.9893150684931,
West,DEUW,80,58,52,48,43,55,75,55,43,37,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Djibouti,DJI,,,,,NA,NA,1.7,1.7,1.7,7.9,7.6,7.8,6.4,2.3,7.9,8,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.7,8.8,8,4.5,3.8,4,4.1,4.1,4.1,4.1,2.3,2.295260273972603,
Dominica,DMA,,,,,NA,NA,0.02438,0.02438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399726027397261,0.0399726027397261,
Denmark,DNK,20,10,9,8,8.5,8.2,9.1,13,17,17,18,16,17,25,29,30,29,26,28,25,24,21,18,19,15,15,20,21,18,10,12,13,9.9,12,13.63945205479452,
Dominican Republic,DOM,,,,,NA,NA,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2,0,2.1,2,2.1,2,2,9,10,9.2,10.015698630137,
Algeria,DZA,,,,,NA,NA,15,8.9,6.9,6.9,6.8,7.3,3.2,7,8.3,9.4,10,12,10,10,4.6,3.6,4.6,4.1,11,11,14,14,15,15,16,15,16,17,13.97438356164384,
Ecuador,ECU,,,,,NA,NA,0.8,2.6,4.9,2.7,3.9,2.6,4.4,7.2,7.1,6.8,9.3,9.9,3.4,3.4,5.1,4.7,4.2,4.7,4.1,4.1,5.5,12,26,30,17,18,17,16,16.1374794520548,
Egypt,EGY,,,,,NA,NA,29,29,34,31,47,31,30,34,31,31,40,42,49,56,51,51,57,61,49,34,37,40,28,26,26,24,52,51,43.9467123287671,
Eritrea,ERI,,,,,--,--,--,--,--,--,--,--,--,--,1.4,1.2,1.4,1.4,1.5,1.5,0,0.1,0.1,0.0182465753424658,0,0,0.3,0.3,0.0651780822,0.0217260273972603,0.8,0.0217260273972603,0.0217260273972603,0.0217260273972603,0.0217260273972603,
Western Sahara,ESH,,,,,NA,NA,0.09221,0.04345,0.09196,0.09221,0.09221,0.09221,0,0.09221,0.09221,0.09221,0.09196,0.09221,0.09221,0.0922191780821918,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.135671232876712,
Spain,ESP,17,21,33,40,42,52,55,63,69,59,71,73,75,64,63,60,87,108,113,110,112,125,127,130,133,147,153,157,163,162,156,159,148,134,145.1433424657535,
Estonia,EST,,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,5.2,5.844465753424653,
Ethiopia,ETH,,,,,NA,NA,0.4,0.2,1.2,1.3,1.3,1.3,2.2,1.3,0.07386,0.2,0.2,0.2,0.2,0.2,0,0,0,0,2.1,2.1,3.3,4.8,4.6,5.1,7,5.9,6.4,7.6,8.38624657534247,
European Union,EU27,521,534,486,451,NA,NA,713.6,712.9,735.1,716.8,761.9,747.8,756.4815300546225,753.8,746.5,771,815.8,882.8,920.2,883.7,937.2558196721311,957.2562648401826,979.8644109589042,996.2595616438356,1050.0106284153005,1072.9146301369863,1127.9110639269406,1090.7193971164152,1095.2295332734468,869.3035342465754,861.4868493150686,897.6867123287674,811.6167558949015,757.3010410958907,734.8674794520551,753.4398630136989
Eurasia,EURA,NA,,,,NA,NA,80,82,91,89,78,80,280.5,237,230,230,263.1,329.6,326.2,326.6,309.18666666666667,345.04701369863017,350.5166575342466,537.7517808219178,549.4533333333334,501.0949315068493,149.78183561643834,150.43808219178084,166.57666666666665,170.61665753424657,213.76427397260275,238.32945205479453,220.52956591062204,275.87068493150684,461.67791780821943,7.349643835616438
Europe,EURO,655,652,541,495,NA,NA,622,617.1,641.9,639.9,684.2,677.8,680.5,697.8,684.1,699.7,738.9,805.5,853.4,806.7,853.9,838.7,877.5,896,968.4,997.9,1049.3434520547946,1054.5651780822,1051.8651780822,946.1303561643836,952.6103917808222,988.9893424657537,903.1041219402642,895.3181917808223,850.2484657534251,
Finland,FIN,16,14,12,13,15,8.6,9.5,8.7,8.6,9.8,11,10,13,9.9,7.8,0,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fiji,FJI,,,,,NA,NA,0.2,2.1,2,2.5,2.5,2.2,0.6,1.2,1.1,1.1,1.1,1.1,1,0.5,0.8,0.8,0.6,1.4,1.7,1.4,1.3,7.2,6,3.7,3.7,3.7,3.7,3.5,3.45443835616438,
Falkland Islands,FLK,,,,,NA,NA,0.01824,0.01824,0.01819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
France,FRA,61,60,57,45,42,43,42,41,44,47,54,53,47,46,38,45,50,53,48,54,56,47,46,52,58,54,53,54,47,47,45,49,46,39,33.69260273972601,
Faroe Islands,FRO,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434520547945205,0.0651780822,0.0651780822,0.0651780821917808,0.00217260273972603,0.0651780821917808,0.0651780821917808,0.4,0.416767123287671,
Gabon,GAB,,,,,NA,NA,2.2,1.8,1.9,1.9,1.9,2.8,1.9,1.2,1.3,2.7,2.9,2.8,6.3,6.3,1.3,0,3.7,4,4.1,3.6,4.3,4.1,5.1,4.4,5.5,5.1,5.4,5.3,4.94098630136987,
United Kingdom,GBR,110,96,50,39,39,41,41,32,35,46,48,49,49,48,44,47,50,55,58,44,40,32,37,34,40,39,44,44,44,45,39,42,38,48,44.9102739726028,
Georgia,GEO,,,,,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.8,1,0.9,0.9,0.9,0.8,0.8,1.8,1.73808219178082,
Ghana,GHA,,,,,NA,NA,0.9,1,0.9,0.8,0.9,0.9,0.8,0.5,0.5,1.1,1.1,0.5,1.2,1.1,0,0,0,2,2.4,2,3.4,2.5,3.9,4.3,4.4,5.6,6.5,6.3,2.67183561643836,
Gibraltar,GIB,,,,,NA,NA,7,6.7,8.6,8.2,8.4,8.6,16,16,16,16,16,16,18,16,40,19,20,21,21,22,23,23,24,24,47,50,51,73,54.26556164383563,
Guinea,GIN,,,,,NA,NA,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.6,0.6,0.6,0.6,0.6,0.5,0.543150684931507,
Guadeloupe,GLP,,,,,NA,NA,0.09753,0.09753,0.09726,0.09753,2,2.1,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,2.2,2,2.3,2.4,2.4,3,3,3,3,2.8,2.80265753424657,
The,GMB,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guinea-Bissau,GNB,,,,,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238986301369863,
Equatorial Guinea,GNQ,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.76041095890411,
Greece,GRC,30,36,16,16,15,21,32,34,39,36,48,43,48,59,62,67,59,59,66,58,67,65,59,60,60,53,58,58,57,40,49,48,42,38,35.05934246575343,
Grenada,GRD,,,,,NA,NA,0.01824,0.02438,0.02431,0.02438,0.02438,0.02438,0,0.04876,0.04876,0.04876,0.04863,0.04876,0.04876,0.0487671232876712,0.0486338797814208,0.0487671232876712,0.0487671232876712,0.0731506849315069,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0869041095890411,0.0869041095890411,
Greenland,GRL,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0.3,1.8,1.8,1.8,0.8,0.81386301369863,
Guatemala,GTM,,,,,NA,NA,2.4,2.7,2.5,2.8,2.9,3,2.4,2.5,2.5,2.5,0,2.5,2.5,2.5,2.4,2.5,2.5,2.5,3.4,2.5,3.3,3,3,3,7.1,7.2,7,7.3,7.07964383561644,
French Guiana,GUF,,,,,NA,NA,0,0,0.02431,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.0828169398907104,0.2,0.4,0.5,0.4,0.8,0.9,0.8,0.8,0.9,0.869041095890411,
Guam,GUM,,,,,,,1,0.5,0.5,1.4,2.1,2.1,2,2.1,2.1,2.1,2,2,2,2,2,2,2.1,2.1,2.1,2.1,2.1,2.1,0,0,0,0,0,0,0,
Guyana,GUY,,,,,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.05459,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.217260273972603,
Hawaiian Trade Zone,HITZ,,,,,,,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
Hong Kong,HKG,,,,,NA,NA,45,44,53,57,53,51,27,83,84,102,103,104,113,113,65,71,123,170,214,160,219,257,210,295,345,295,276,284,268.261671232877,
Honduras,HND,,,,,NA,NA,0,0,0,0,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.5,1,1.1,1,0.5,1,0.9,1.45564383561644,
Croatia,HRV,,,,,--,--,--,--,--,--,--,--,0,0,0.9,0.7,2.1,1.7,1.8,1.8,0.3,0.6,0.5,0.4,1.1,1.1,1.2,1.4,1.5,1.1,1.3,1.6,1.4,1.7,2.49849315068493,
Haiti,HTI,,,,,NA,NA,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.2,0.2,0.3,0.3,0.3,0,0,0,0,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,1.9,1.93361643835616,
Hungary,HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indonesia,IDN,,,,,NA,NA,5.6,5.9,7.3,11,17,7.3,16,13,16,16,17,19,19,21,18,5.6,13,17,22,20,22,24,34,16,17,18,20,21,21.60161643835615,
India,IND,,,,,NA,NA,15,18,22,19,18,18,4.7,17,16,16,14,24,33,33,26,11,17,15,14,18,57,100,95,35,27,17,103,108,109.6109863013698,
Ireland,IRL,6,5,0,0,0.6,0.6,0.4,0.3,0.4,0.4,0.5,0.6,0.3,0.7,0.7,2.3,3,3,3.1,3.1,3,3.2,2.9,3.3,2.9,2.1,2.4,2.1,1.6,1.9,2.3,1.6,1.9,2.6,2.564712328767127,
Iran,IRN,,,,,NA,NA,24,25,28,27,51,49,9,11,9.8,10,10,10,13,15,42,30,32,34,30,29,30,37,38,85,70,67,60,59,94.6310684931506,
Iraq,IRQ,,,,,NA,NA,3.7,3.8,2.9,3.8,2.8,0.9,0,0,0,0,0,0,0,0,0,0,0,8.8,8.8,7.1,17,18,14,15,23,23,11,12,14.87997260273976,
Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Israel,ISR,0,0,5,4,2.1,2.7,2.1,2.5,2.1,2.4,3.3,4.1,3.5,3.6,3.8,3.9,1.8,3.4,2.9,2.8,3.5,3.3,5,5,4.1,5.2,4.8,6.2,7,6.4,6.2,5.7,5.9,4.5,2.186958904109585,
Italy,ITA,70,73,78,62,59,62,67,63,59,55,51,48,46,46,45,47,45,45,55,49,50,50,55,59,64,64,61,54,70,61,63,66,57,46,42.48673972602739,
Jamaica,JAM,,,,,NA,NA,0.4,0.6,1.6,0.03295,0.2,0.8,0.8,0.8,0.7,0.6,0.8,1.5,1.5,1.5,0.6,0.6,0.6,0.6,4.5,4,5.6,5.8,4.9,4.1,5.7,5.8,5.4,5.3,7.70241095890411,
Jordan,JOR,,,,,NA,NA,4.1,4,4.1,4.3,5,2.3,4.7,4.9,4.6,5.3,6.4,6.4,4.8,5,0.8,0.1,0.1,4.8,5.3,4.2,2.4,7.3,2.6,7.8,7.9,7.2,7.9,7.9,7.12356164383562,
Japan,JPN,183,168,132,133,136,136,109,99,89,93,98,108,108,125,128,116,80,96,106,100,91,87,84,92,100,107,109,104,96,87,82,76,74,72,65.87742465753426,
Kazakhstan,KAZ,,,,,--,--,--,--,--,--,--,--,0,0,0,0,8.1,6.5,5.2,5.2,0,0,0,0,0,0,5.4,6.6,6.9,3.8,4.4,3.8,4.3,3.6,4.91008219178082,
Kenya,KEN,,,,,NA,NA,9.1,4.5,2,3,3.1,2.4,2.8,3.1,2.5,1,1,4.1,1.3,1.6,1.6,1.6,1.6,0.2,0.7,1.1,0.9,0.9,12,13,12,15,15,13,12.2273150684932,
Kyrgyzstan,KGZ,,,,,--,--,--,--,--,--,--,--,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,11,5.8,1.1,1.1,1,0.0869041095890411,
Cambodia,KHM,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303333333333333,0.282438356164384,0.217260273972603,0.282438356164384,0.346666666666667,0.369342465753425,0.391068493150685,0.999397260273973,0.888333333333333,0.716958904109589,0.934219178082192,1.10802739726027,1.41219178082192,1.60772602739726,1.86843835616438,1.97706849315069
Kiribati,KIR,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243169398907104,0.0461095890410959,0.0461095890410959,0.04610958904,0.04610958904,0.0461095890410959,0.0461095890410959,0.0461095890410959,0.0461095890410959,0.0869041095890411,0.0869041095890411,
Saint Kitts and Nevis,KNA,,,,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Korea,KOR,3,6,4,5,9.6,12,21,29,29,35,30,45,58,72,78,87,99,111,115,125,116,113,108,121,132,188,189,175,169,153,162,160,158,145,152.2687123287669,
Kuwait,KWT,,,,,NA,NA,25,24,25,26,20,2.7,4.8,14,10,11,12,13,16,16,12,9.7,10,10,27,17,24,22,34,24,25,35,37,37,36.5249315068493,
