Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Europe,EURO,,,,,,,,,,,,,,241654.1,280252.5,293456.5,313862,313734.3,311763,314181
France,FRA,1298,1693,1693,1742,1747,2489,2987,3236,3345,3236,3037,2921,2879,2754,2795,2489,2155,1776,1717,1518
Gabon,GAB,8768,7545,7795,7845,7866,8594,8294,7745,7966,10393,13491,14690,14913,15615,16416,18238,18456,18508,17588,16539
United Kingdom,GBR,80968,90156,100956,112005,121577,123689,124129,117627,109419,88098,88303,87187,88806,92918,115208,120767,124928,122146,126905,130222
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,147,100,90,50,60,135,110,109
Ghana,GHA,100,100,100,100,100,50,15,,,,,,55,80,70,200,301,251,251,301
Equatorial Guinea,GNQ,,,,,,,,,,,,5.1,78,226,251,251,860,2630,4164,5118
Greece,GRC,0,407,1068,1220,1326,1271,1271,1220,1071,864,757,808,672,547,517,454,405,458,328,17
Guatemala,GTM,254,253,304,354,254,152,253,202,152,202,202,223,241,354,420,481,651,789,1203,1180
Hawaiian Trade Zone,HITZ,,,,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,1772,1747,1942,1575,1480,1445,1533,1230
Hungary,HUN,2079,2073,2237,2182,2188,2019,2019,1910,2134,1964,2171,1841,1825,1865,2104,1910,1768,1935,1419,1336
Indonesia,IDN,77925,79092,66046,64859,68378,63989,67128,64859,64988,68046,72504,78951,74791,74953,74894,74522,76954,75380,76613,74274
India,IND,8765,15609,18731,23053,24994,29777,30257,29248,30581,33619,32379,30171,27605,26198,28940,34511,32026,33593,32936,32499
Iran,IRN,83272,68954,110626,121918,108925,112425,101682,114823,112232,140406,153350,164473,170755,175796,179669,180922,183533,181963,181795,178241
Iraq,IRQ,124225,49278,49742,49398,59588,70435,83067,102188,132335,142394,100215,14983,20935,25137,27143,27510,28511,56740,105868,123487
Israel,ISR,1768,1813,50,50,51,50,50,15,18,16,10,10,9.4,7.7,5,5,10,15,10,10
Italy,ITA,2030,1971,1864,2397,2403,2397,2610,3569,4807,4367,4350,4000,4179,4136,4312,4668,5069,5579,5348,4100
Jordan,JOR,,,,,,,51,25,25,11,17,15,2.5,1.6,1.3,1.5,1.6,2,1.6,2
Japan,JPN,502,351,451,451,402,551,651,601,603,551,546,740,846,618,538,546,576,494,446,393
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,22353,20484,20836,20785,22995,26157,26409,30305
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,108,95,77,95,95,85,80,77
Kuwait,KWT,83658,56678,41463,53605,58450,51539,71490,79853,75373,89828,59155,9566,53416,93257,101948,103580,104078,101047,105044,95434
Libya,LBY,87033,55370,55856,53670,52940,51436,50222,47210,57226,55856,66210,71418,69178,65536,66335,66933,67640,69625,67124,63693
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,,79,146,160,152,193,275,233
Latvia,LVA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Morocco,MAR,48,48,48,48,48,48,23,19,20,14,15,14,11,10,9.6,14,14,3.8,4.8,11
Moldova,MDA,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Mexico,MEX,99689,118776,141113,138084,143148,143853,127608,133530,132004,132049,133793,140436,140265,140080,145787,142092,154709,162672,165579,157126
Middle East,MIDE,,,,,,,,,,,,,,905570.3,925495.3,940809.5,952946.6,987090,1052283.6,1020035
North Macedonia,MKD,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,
Burma,MMR,1550,1391,1546,1546,1653,1546,1237,876,672,773,670,773,744,701,701,493,414,464,567,489
Montenegro,MNE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Mongolia,MNG,,,,,,,,,,,,,,,,,,,6.3,10
Malaysia,MYS,13471,12532,14617,17436,21076,21018,24076,23741,25866,27945,29569,30859,31297,30572,30810,32602,33292,33438,34394,33104
Namibia,NAM,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,
Nigeria,NGA,102822,71504,64618,61924,69448,74598,73201,66913,72551,85625,90316,94397,97218,97800,96348,99435,100096,103779,106054,104892
Netherlands,NLD,1335,1438,2024,2823,3258,4048,4953,4634,4112,3409,3529,3731,2692,2534,3944,3326,2843,2659,2622,1607
North America,NOAM,,,,,,,,,,,,,,566181,566062,560297,570914,581441,577394,546721
Non-OECD,NOEC,,,,,,,,,,,,,,2149104.6,2159254.2,2206037.3,2250106.6,2326042.8,2389054.7,2364172
Norway,NOR,22565,21977,23010,28740,33146,36108,39328,45917,52163,69290,77833,89334,102076,108942,122696,132068,148000,150017,143786,144151
New Zealand,NZL,315,449,674,674,766,853,1302,1258,1486,1707,1994,2044,1909,2044,1969,1592,1826,2872,2339,2094
OECD - Asia And Oceania,OEAO,,,,,,,,,,,,,,25996,27390,28200,28900,30629,28020,27491
OECD,OECD,,,,,,,,,,,,,,848016.8,887015.5,902804.5,936628,950296.3,946134,922302
OECD - Europe,OEEU,,,,,,,,,,,,,,231645.1,269755.5,283629.5,304152,304240.3,302553,305638
OECD - North America,OENA,,,,,,,,,,,,,,566181,566062,560297,570914,581441,577394,546721
Oman,OMN,14077,15881,16130,18668,20666,24792,27878,28973,30800,31911,34110,34857,36950,38633,40334,42390,44109,45015,44808,45314
OPEC - Africa,OPAF,,,,,,,,,,,,,,240388,239957,246158,252097,263357,264161,257460
OPEC,OPEC,1253559,1046821,874206,813758,807900,751228,861223,874060,969166,1051996,1101568,1099222.1,1166619,1176714,1195919,1221427,1244767,1304962,1348164,1296782
Non-OPEC,OPNO,1732242,1758319.5,1795691,1843255,1916944,1939680.3,1947228.7,1950025.7,1964463.7,1927527.7,1911497,1895773.3,1834725.9,1820407.4,1850350.7,1887414.8,1941967.6,1971377.1,1987024.7,1989692
OPEC - South America,OPSA,116777,112913,101793,96744,96847,88970,94806,92949,101237,101172,113208,125816,125949,129790,137100,145689,156068,173759,158125,144842
Pakistan,PAK,488,487,584,633,830,1703,2044,2044,2196,2336,3017,3017,2994,2937,2677,2779,2684,2774,2672,2579
Peru,PER,9636,9511,9609,8427,9092,9363,8772,8082,6967,6406,6355,5662,5745,6223,6304,6391,5916,5827,5696,5224
Persian Gulf,PERG,,,,,,,,,,,,,,828667,841093,853124,863263,896623,961209,928209
Philippines,PHL,754,100,401,651,603,451,401,301,301,251,235,150,404,456,306,170,100,50,40,43
Papua New Guinea,PNG,,,,,,,,,,,,9.3,2484,5884,5142,4674,4844,3739,3695,4515
Poland,POL,345,344,246,197,197,197,197,148,148,148,98,148,156,242,246,226,247,295,363,443
Palestinian Territories,PSE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,
Qatar,QAT,22897,19593,16060,14357,19227,14649,14989,14259,16885,18493,19759,19223,20652,20099,20197,21511,24911,26767,33452,31862
Romania,ROU,11605,11719,11768,11671,11557,10698,10747,10455,9411,8753,7926,6808,6614,6468,6700,6565,6583,6539,6402,6079
Russia,RUS,--,--,--,--,--,--,--,--,--,--,--,--,384221,337889,308016,300987,294512,297221,293908,305202
Saudi Arabia,SAU,501793,496126,325582,255423,234821,170148,244575,214192,256123,254318,319493,404476,416414,408603,404725,410269,410735,416788,420349,392503
Former Serbia and Montenegro,SCG,--,--,--,--,--,--,--,--,--,--,--,--,1138,1123,1165,1083,1085,970,886,886
Sudan,SDN,,,,,,,,,,,,,15,15,5.3,9.8,98,245,490,3380
Serbia,SRB,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Sudan,SSD,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former U.S.S.R.,SUN,589325,594945,598058,601070,597129,581640,597204,604986,606795,588167,551014,501662,--,--,--,--,--,--,--,--
Suriname,SUR,,,,,,59,118,118,177,236,230,206,295,294,353,412,443,294,412,589
Slovakia,SVK,--,--,--,--,--,--,--,--,--,--,--,--,--,68,68,75,86,81,65,49
Slovenia,SVN,--,--,--,--,--,--,--,--,--,--,--,--,,2.5,2,2,1,1.3,1,1
Sweden,SWE,23,5.5,13,21,12,7.3,3.7,3.7,2.7,2.7,3,2,1,0.6,4.5,4.5,0,0,0,0
Syria,SYR,8725,8807,8543,8917,9102,9504,10359,12281,14188,18154,19427,24634,24146,27738,28038,28789,29235,28100,27706,26937
Thailand,THA,16,16,324,594,975,1836,1890,1782,1950,2160,2361,2497,2745,2825,3009,2776,3300,3875,4052,4517
Tajikistan,TJK,--,--,--,--,--,--,--,--,--,--,--,--,54,29,20,25,21,26,20,20
Turkmenistan,TKM,--,--,--,--,--,--,--,--,--,--,--,--,4934,3966,3866,3514,3814,4468,5523,7000
Timor-Leste,TLS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Trinidad and Tobago,TTO,10902,12366,9275,8244,8783,9017,8656,8089,8112,7935,7729,7780,7103,6956,6777,6763,6695,6381,6318,6440
Tunisia,TUN,5236,5602,5697,5697,5712,5412,5269,5032,4903,4984,4415,4937,5191,4647,4352,4232,4141,3988,3810,3940
Turkiye,TUR,2355,2348,2552,2246,2099,2093,2348,2604,2559,2859,3701,4478,4246,3865,3670,3420,3415,3427,3308,2991
Taiwan,TWN,279,167,167,167,167,111,111,167,111,111,167,125,111,63,72,68,68,56,52,44
Ukraine,UKR,--,--,--,--,--,--,--,--,--,--,--,--,3625,3314,3163,3012,2970,2862,2711,2661
United States,USA,429094,426677,430510,432451,443169,446538,432053,415584,406284,378942,366115,369163,357925,340797,331584,326511,322658,321132,311189,292753
Uzbekistan,UZB,--,--,--,--,--,--,--,--,--,--,--,--,1790,2360,3765,5774,5777,5641,5824,5121
Venezuela,VEN,116777,112913,101793,96744,96847,88970,94806,92949,101237,101172,113208,125816,125949,129790,137100,145689,156068,173759,158125,144842
Vietnam,VNM,,,,,,,41,258,775,1649,2577,4123,5490,6185,7242,8932,9067,9858,12666,14936
World,WORL,2985801,2805140.5,2669897,2657013,2724844,2690908.3,2808451.7,2824085.7,2933629.7,2979523.7,3013065,2994995.4,3001344.9,2997121.4,3046269.7,3108841.8,3186734.6,3276339.1,3335188.7,3286474
Australia and New Zealand,WP11,18331,19077,18168,20343,23691,27572,25465,26676,26554,24476,28669,27327,26778,25378,26852,27654,28324,30135,27574,27098
IEO - Africa,WP12,299604,232532,230672,231405,250705,262472,258896,256666,273636,291947,312682,323649.1,328492,322992,323277.9,336397.8,346052,354775.8,356161.8,352763
Brazil,WP13,9165,10697,13057,17025,23920,28325,28726,28425,27899,29932,32615,32589,32467,33262,34732,35974,41237,43526,50100,58547
Canada,WP14,70471,62932,62246,66409,70618,72041,72188,75175,79359,76400,78882,78627,81758,85304,88691,91694,93547,97637,100626,96842
China,WP15,105701,100327,101972,105712,114802,124909,130644,134134,136502,137450,138323,141365,142252,144107,146565,149094,156569,160017,159909,159750
India,WP16,8765,15609,18731,23053,24994,29777,30257,29248,30581,33619,32379,30171,27605,26198,28940,34511,32026,33593,32936,32499
Japan,WP17,502,351,451,451,402,551,651,601,603,551,546,740,846,618,538,546,576,494,446,393
Mexico,WP18,107808,127211,150469,147813,153681,154672,144830,154826,152724,153884,157431,162864,163380,140080,145787,142092,154709,162672,165579,157126
IEO - Middle East,WP19,924661,789529,631337,580448,568904,513801,621665,644841,724984,797700,818577,798176,863023.5,905570.3,925495.3,940809.5,952946.6,987090,1052283.6,1020035
Western Europe,WP21,122928,132096.5,144562,164105,177774,184633.3,190726.7,192162.7,191284.7,185997.7,195389,207560,221095.4,240531.1,279087.5,292373.5,312777,312764.3,310877,313295
Other Americas,WP22,174805,172730,158580,152719,154618,147420,151717,142167,156933,155550,168915,181682,186228,218045,229247,249966,264756,286767,276002,264664
Other Asia-Pacific,WP23,106201,101891,91343,93953,101680,98284,105206,100964,103717,109860,118598,128556.3,129345,132830,133237,135176,138541,137669,142657.3,143631
Eastern Europe and Eurasia,WP24,607765,613481,617799,621126,615886,599913,615427,622616,622569,603215,563944,512526,55929,43520,44220,45056,47504,50846,54940,61876
Russia,WP25,,,,,,,,,,,,,384221,337889,308016,300987,294512,297221,293908,305202
United States,WP27,429094,426677,430510,432451,443169,446538,432053,415584,406284,378942,366115,369163,357925,340797,331584,326511,322658,321132,311189,292753
Yemen,YEM,,,,,,,479,956,8296,9278,9232,9403,8733,10523,16024,16500,16328,17335,18549,19563
Former Yugoslavia,YUG,4243,4232,4281,4084,3947,4232,4133,3887,3701,3444,3144,2952,--,--,--,--,--,--,--,--
South Africa,ZAF,,,,,,,,,,,,,,,,,,,850,1182
