Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei,BRN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Botswana,BWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CAF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,0.131,0.161,0.327,0.444,0.677,1.423,1.84,2.336,3.282,3.967,5.265,6.201,7.801,9.694,11.214,11.973,12.25,12.816,13.413,13.627,13.772,15.081,16.989
Switzerland,CHE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.005,0.005,0.005,0.009,0.012,0.012,0.012,0.014,0.018,0.042,0.046,0.049,0.06,0.06,0.06,0.075,0.075,0.075,0.075,0.0871,0.08712,0.08712,0.08712
Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.002,0.002,0.002,0.002,0.002,0.002,0.02,0.02,0.163,0.163,0.184,0.202,0.301,0.736,0.91,1.039,1.305,1.524,1.6201,2.340396,3.137006,3.829679,4.51
China,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,0.383,0.449,0.547,0.763,1.06,2.07,4.2,8.3877,17.5994,29.6335,46.3546,61.5969,76.7305,96.8191,131.0477,148.5169,164.3745,184.6649,209.5819,282.1127,328.97343,365.964,441.895
Ivory Coast,CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Kinshasa,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo-Brazzaville,COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,COK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,4e-05,4e-05
Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.02,0.01,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.01842,0.01842,0.01842
Comoros,COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.002,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0255,0.0255,0.0272,0.0272,0.0272,0.0272,0.0272,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278
Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0425,0.0623,0.0623,0.0686,0.0686,0.0686,0.0686,0.066,0.066,0.1155,0.1155,0.1283,0.1436,0.1436,0.1931,0.2721,0.3651,0.3778,0.4078,0.4109,0.3935,0.39352,0.39022,0.408
Central & South America,CSAM,,,,,,,,,,,,,,,,,,,,,0.0995,0.134,0.1363,0.1526,0.1965,0.1938,0.4121,0.4426,0.6135,1.1062,1.4869,2.1704,3.0415,3.6371,7.476,11.1973,14.4431,17.3011,20.8244,22.5806,26.113796,31.668617,35.624499,41.912699
Former Czechoslovakia,CSK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Cuba,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,0.0005,0.0005,0.0005,0.0005,0.0022,0.0022,0.0022,0.0073,0.0073,0.0073,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.016,0.016,0.016
Cayman Islands,CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001
Cyprus,CYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0822,0.1342,0.1472,0.1472,0.1472,0.1577,0.1577,0.1577,0.1577,0.1577,0.1577,0.1575,0.1575,0.1575
Czechia,CZE,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.0064,0.0106,0.0165,0.022,0.0435,0.1138,0.15,0.193,0.213,0.213,0.258,0.262,0.278,0.281,0.282,0.3082,0.3162,0.3394,0.3394,0.339414,0.339414,0.343
East,DDR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany,DEU,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.095,8.754,12.001,14.381,16.419,18.248,20.474,22.116,22.794,25.732,26.903,28.712,30.979,33.477,38.614,44.58,49.435,55.58,58.721,60.742,62.201,63.711,66.163,69.459
West,DEUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Djibouti,DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.08
Dominica,DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.00024,0.00024,0.00024
Denmark,DNK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,2.4972,2.8945,3.1199,3.1237,3.1278,3.1357,3.1242,3.1629,3.4821,3.8018,3.952,4.1619,4.8189,4.8864,5.077,5.2451,5.4889,6.1227,6.1105,6.267,7.02084,7.08784,7.482
Dominican Republic,DOM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0335,0.0855,0.0855,0.0855,0.0855,0.1349,0.1349,0.183,0.37,0.3703,0.3703,0.41705,0.417
Algeria,DZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Ecuador,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0189,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.02115,0.02115,0.07113
Egypt,EGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,0.069,0.069,0.069,0.14,0.14,0.2,0.3,0.4,0.43,0.55,0.55,0.55,0.55,0.55,0.755,0.755,0.755,1.13,1.132,1.38,1.64,1.6425,1.89
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.000825,0.000825,0.000825
Western Sahara,ESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,ESP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.206,3.397,4.891,5.945,8.317,9.918,11.722,14.82,16.555,19.176,20.693,21.529,22.789,22.958,22.925,22.943,22.99,23.1245,23.4051,25.5901,26.8192,27.907651,30.114,31.028
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.001,0.001,0.003,0.007,0.031,0.031,0.05,0.077,0.104,0.108,0.18,0.266,0.248,0.275,0.3,0.31,0.3118,0.31,0.316,0.317,0.315,0.316,0.408
